id,title,comment_count,upvote_count,view_count,rating_count,average_rating,share_count,exit_count,created_at,username,interaction_type,engagement_score,interaction_rate,category_id,video_link
1217,Writing of gratitude in a journal allows you to relive the more beautiful parts of your life on a daily basis.#leadership #productivity #service,0,26,74,5,36,0,20,2024-08-29 13:34:28,kinha,rate,1.0666666666666667,0.3466666666666667,2,https://video-cdn.socialverseapp.com/kinha_07f0ae93-ff5f-44d1-9934-30ca7301214b.mp4
167,Unknown Title,2,42,91,10,41,1,0,2023-11-09 09:24:03,kinha,rate,1.4456521739130435,0.45652173913043476,2,https://video-cdn.socialverseapp.com/kinha_1d0a8673-6175-4801-9aba-2889f991a022.mp4
1304,Welcome to the beginning of something Amazing!! We are alive!!!! Hahahhaha coff coff.  $FROGGYBOOM #token #solana #meme #memecoin #trump2024,2,38,68,4,20,0,138,2024-10-07 14:10:13,kinha,rate,-0.463768115942029,0.5507246376811594,22,https://video-cdn.socialverseapp.com/kinha_aefad77f-4aec-4cde-a4e4-8d5bc489faba.mp4
1285,Strategies I use to trade crypto memecoins and actually be profitable  #crypto #memecoins #solana #trading,0,5,48,2,18,0,180,2024-10-04 18:19:52,kinha,rate,-2.5918367346938775,0.10204081632653061,22,https://video-cdn.socialverseapp.com/kinha_2fc66e9f-dcbb-4851-a87e-2f10d075e74f.mp4
1305,$cost meme on solana.  Culture of solana token.  #crypto #meme #crown #1000x @CultureofSolanaToken,0,19,71,8,21,0,212,2024-10-07 14:19:01,kinha,rate,-1.6944444444444444,0.2638888888888889,22,https://video-cdn.socialverseapp.com/kinha_7dce7cd5-1f3e-4145-be1a-1bbd0d50450f.mp4
1297,Why You Should Keep An Eye On Solana! #crypto #bitcoin #solana #shorts #viralshorts #trending #fyp,0,14,97,4,20,0,97,2024-10-05 07:44:15,kinha,rate,0.14285714285714285,0.14285714285714285,22,https://video-cdn.socialverseapp.com/kinha_bcb016c9-10da-4100-aea2-ec54c89f088d.mp4
1263,Trading memecoins in 2024 ____ $DUKO ON SOLANA #memecoins #memecoin #solana,0,57,103,15,15,1,209,2024-10-02 14:07:19,kinha,rate,-0.47115384615384615,0.5480769230769231,22,https://video-cdn.socialverseapp.com/kinha_f1fe754b-bffc-48b1-98c3-898dce112a39.mp4
1276,Daily realisation #trading #crypto #bitcoin #ethereum #solana #memecoins,0,50,88,9,21,0,80,2024-10-04 18:10:59,kinha,rate,0.651685393258427,0.5617977528089888,22,https://video-cdn.socialverseapp.com/kinha_2fd93bb2-bc16-45d9-9721-d7a078d29dd9.mp4
1299,Get to Work 🏗️ #crypto #solana #memecoin #mrow #shorts,0,13,87,3,18,0,90,2024-10-05 07:45:03,kinha,rate,0.11363636363636363,0.14772727272727273,22,https://video-cdn.socialverseapp.com/kinha_a187ef3d-efb8-441a-8e26-8fb7be0697e0.mp4
1264,#crypto #cryptotrading #memecoin #solmemecoins #solanamemecoin (1),0,30,84,10,18,0,163,2024-10-04 17:56:08,kinha,rate,-0.5764705882352941,0.35294117647058826,22,https://video-cdn.socialverseapp.com/kinha_3f27b670-a762-48fe-b154-c86f3cffbe31.mp4
1313,solana.memecoins - 7367640108956175649,0,42,81,6,20,0,33,2024-10-07 15:57:34,kinha,rate,1.0975609756097562,0.5121951219512195,22,https://video-cdn.socialverseapp.com/kinha_e8c4ce67-a749-4509-a308-75b29c2acc2d.mp4
1294,100x on solana memecoin MOODENG because of this memecoin signal server  #memecoin #crypto #moodeng,1,33,103,5,21,1,114,2024-10-05 07:33:08,kinha,rate,0.21153846153846154,0.3173076923076923,22,https://video-cdn.socialverseapp.com/kinha_c121bfd1-f165-4815-b4bc-f295d49741f4.mp4
1283,Pump fun and the trenches in shambles #pumpfun #solana #memecoins,0,20,110,6,26,0,23,2024-10-04 18:17:57,kinha,rate,0.963963963963964,0.18018018018018017,22,https://video-cdn.socialverseapp.com/kinha_4a2ddb07-a1b6-4ce6-a3f8-ab911b243bd9.mp4
1284,Solana Buntun bridge  #ctto#sunset #Solana#calm #sky #fyp #trendingvideo,5,63,70,2,16,0,48,2024-10-04 18:19:00,kinha,rate,1.1971830985915493,0.8873239436619719,22,https://video-cdn.socialverseapp.com/kinha_3a078171-d205-4d83-b6b6-df27ee10071a.mp4
1307,stevencrypto321 - 7412525180750433582,0,24,92,2,17,0,131,2024-10-07 15:37:11,kinha,rate,-0.16129032258064516,0.25806451612903225,22,https://video-cdn.socialverseapp.com/kinha_91b3609b-e5e2-4634-ae41-7d4d03788d4a.mp4
1291,Can Moo Deng’s MEME COIN GO HIGHER_ #shorts,0,4,84,5,20,0,17,2024-10-05 07:28:20,kinha,rate,0.8352941176470589,0.047058823529411764,22,https://video-cdn.socialverseapp.com/kinha_93ee7faa-bf37-47d5-b5e0-67d83b1d4cee.mp4
1302,videoplayback,0,4,100,2,21,0,58,2024-10-05 07:55:30,kinha,rate,0.45544554455445546,0.039603960396039604,22,https://video-cdn.socialverseapp.com/kinha_ec71446c-e3f6-40f0-b9ca-5c2264619047.mp4
1308,$COST culture of solana token,0,13,85,3,15,1,116,2024-10-07 15:37:30,kinha,rate,-0.20930232558139536,0.1511627906976744,22,https://video-cdn.socialverseapp.com/kinha_5208e192-f61c-43dd-8137-8876527b1a85.mp4
1312,Culture of solana $COST.  New META for bullrun #crypto #meme #bullrun #crown #Culture #bitcoin #cost #altcoin #crwon #100x. #1000x  @CultureofSolanaToken,2,29,90,5,14,0,129,2024-10-07 15:53:32,kinha,rate,-0.10989010989010989,0.31868131868131866,22,https://video-cdn.socialverseapp.com/kinha_feccc49a-9ff2-487a-b6b7-79f3a5380989.mp4
1309,#cryptomeme #solana #shitcoins #memecoin,0,61,78,7,18,0,102,2024-10-07 15:40:49,kinha,rate,0.46835443037974683,0.7721518987341772,22,https://video-cdn.socialverseapp.com/kinha_c8f9d1c7-eeab-4258-994b-a57ea430e06c.mp4
1287,Trading memecoins #memecoin #solana #bitcoin #funny #usa #fyp #animation #animationmeme #memecoins #2d #foryou #foryoupage #repost #viraltiktok,0,1,81,8,17,0,109,2024-10-04 18:24:34,kinha,rate,-0.32926829268292684,0.012195121951219513,22,https://video-cdn.socialverseapp.com/kinha_efcf6e1f-1b6e-47f3-b0b7-f3aa5bfd5c52.mp4
1301,🚀 Best memecoins on Tron,0,1,98,3,18,0,136,2024-10-05 07:51:49,kinha,rate,-0.37373737373737376,0.010101010101010102,22,https://video-cdn.socialverseapp.com/kinha_b456ed98-0480-4244-85b6-3752c5c8fe47.mp4
1306,Culture of Solana Token $COST.   #  2024  Trump.  Trump Supporters,0,17,120,8,21,0,113,2024-10-07 15:33:31,kinha,rate,0.19834710743801653,0.14049586776859505,22,https://video-cdn.socialverseapp.com/kinha_b469e07d-ab30-4301-b4f9-fb9f845201b2.mp4
1266,#crypto #memecoins to buy today! SCF on my radar! My post is NFA.  #cryptomemecoin #solanamemecoin #newmemecoin #solanacoin #solanamemes,0,9,74,2,17,0,37,2024-10-04 17:57:38,kinha,rate,0.6133333333333333,0.12,22,https://video-cdn.socialverseapp.com/kinha_d5cabd8a-70c1-4a33-a014-6361e832e761.mp4
1262,Solana price prediction in 2025! #solana #sol #altcoins #altcoin #crypto #cryptocurrency #eth #bnb #dot #xrp #avax #ada #btc,0,20,120,6,21,0,95,2024-10-01 10:23:28,kinha,rate,0.371900826446281,0.1652892561983471,22,https://video-cdn.socialverseapp.com/kinha_4216b3ec-20db-417f-b73e-730754faa28c.mp4
1256,Memecoins are wild! #trading #crypto #sol #solana #memecoins #bonk #altcoins #btc,0,49,101,3,18,1,61,2024-09-12 12:44:15,kinha,rate,0.8725490196078431,0.4803921568627451,22,https://video-cdn.socialverseapp.com/kinha_bd74d866-7850-4822-9636-dc59cb65a946.mp4
1311,Love to see this #solana #crypto #shitcoins #meme #bitcoin,0,43,69,15,17,3,71,2024-10-07 15:53:13,kinha,rate,0.5857142857142857,0.6142857142857143,22,https://video-cdn.socialverseapp.com/kinha_8bfddea5-8e46-4d3b-8dee-a2e15d0ec153.mp4
1289,Who else has trades the EXACT same way 😭💰 #crypto #finance #wealth #crytocurrency #money #solana #memecoins,0,21,98,6,20,0,115,2024-10-04 18:26:08,kinha,rate,0.04040404040404041,0.21212121212121213,22,https://video-cdn.socialverseapp.com/kinha_a9e36f4d-3f25-4b03-91bd-83a195d7c276.mp4
1295,🚀 MOO DENG Solana Meme Coin Hits $70M Market Cap in Just Two Weeks! 🐮💥,0,14,94,3,15,0,50,2024-10-05 07:35:39,kinha,rate,0.6105263157894737,0.14736842105263157,22,https://video-cdn.socialverseapp.com/kinha_ac8c7171-8849-4a7f-b761-e9dccede8b21.mp4
1255,Shinobi ninja is the play for 2024! Solana is beating eth in every metric. Dont be a jeet #endthestruggletogether #token2049 #shinonbininja #nkds,0,53,85,13,18,0,46,2024-09-12 12:42:45,kinha,rate,1.069767441860465,0.6162790697674418,22,https://video-cdn.socialverseapp.com/kinha_3ce24b82-97fb-4f37-8281-1690d15fa7d2.mp4
1282,Nice bit of Sunday news #solana #solanamemecoin #solanamemes #trending #memecoin #bullrun2024,0,7,93,3,18,0,56,2024-10-04 18:16:38,kinha,rate,0.46808510638297873,0.07446808510638298,22,https://video-cdn.socialverseapp.com/kinha_c59910b1-b7c1-4b2e-8e11-b487d6fdd3de.mp4
1300,Moodeng made people millionaires⁉️🤯#crypto #shorts  #moodeng #hippo #memecoin #viralvideo,3,49,88,16,19,3,92,2024-10-05 07:48:54,kinha,rate,0.5056179775280899,0.550561797752809,22,https://video-cdn.socialverseapp.com/kinha_9e5809a7-ba2b-4409-8822-5c438d4ce931.mp4
1314,😂#SOLANA #memecoin #crypto #dexscreener #bullrun,0,66,95,7,21,0,81,2024-10-07 16:02:23,kinha,rate,0.8333333333333334,0.6875,22,https://video-cdn.socialverseapp.com/kinha_a78b29ab-15d3-4b26-be9a-e9e4bd8ca30c.mp4
1303,Welcomr to RoroLand #cryptocurrency #meme #token #solana,0,18,74,4,21,0,101,2024-10-07 14:09:18,kinha,rate,-0.12,0.24,22,https://video-cdn.socialverseapp.com/kinha_54474aa5-7c42-4d69-bf6d-3bb5a06fe4a3.mp4
1288,Trading memecoins in 2024 ____ $DUKO ON SOLANA #memecoins #memecoin #solana,1,11,81,15,18,0,208,2024-10-04 18:25:19,kinha,rate,-1.4146341463414633,0.13414634146341464,22,https://video-cdn.socialverseapp.com/kinha_72714a01-667e-4e34-a6bc-d67888843c60.mp4
1292,Day 22 turning $100 into 100000 by trading meme coins #trading #memecoin #crypto #solana,3,26,109,25,19,5,225,2024-10-05 07:29:00,kinha,rate,-0.8181818181818182,0.23636363636363636,22,https://video-cdn.socialverseapp.com/kinha_3948857c-b495-4d20-87ff-11d12643e589.mp4
